division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;filiformis;;;(Hedw.) Brid.;Cryphaea filiformis;Cryphaea_filiformis;;6;;0;Am 2, Am 3, Am 4, Am 5;Venezuela.;Caribe, Honduras, MÇxico, Estados Unidos  MÇxico, Sur de Estados Unidos, CentroamÇrica , Colombia, Venezuela y Brasil;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;hygrophila;;;MÅll. Hal.;Cryphaea hygrophila;Cryphaea_hygrophila;;6;;0;Am 4.;Buscar;Bolivia;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;jamesonii;;;Taylor;Cryphaea jamesonii;Cryphaea_jamesonii;;6;;0;Am 2, Am 4.;;MÇxico, CentroamÇrica,, Colombia, Venezuela, Ecuador, Bolivia, Per£, Argentina, Bolivia, Brasil, Colombia, Costa Rica, Ecuador, Honduras, Sur†frica, Venezuela. Los Andes y el Caribe;;;Ep°fito;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;0;Cryphaea;patens;var. patens;;;Cryphaea patens var. patens;Cryphaea_patens_patens;;8;;0;Am 2, Am 4, Am 6.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;pilifera;;;Mitt.;Cryphaea pilifera;Cryphaea_pilifera;;6;;0;Am 4.;Venezuela, Colombia, Ecuador, Per£ y Bolivia.;Bolivia, Colombia, Ecuador, Per£, Venezuela, Colombia, Venezuela, Ecuador, Bolivia, Per£;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;polycarpa;;;Schimp. Es Besch.;Cryphaea polycarpa;Cryphaea_polycarpa;;6;;0;;;MÇxico, CentroamÇrica, Argentina, Ecuador, Bolivia, Chile, Colombia, Per£, Venezuela. Los Andes y el Caribe (Le¢n 1996);;;;;;;;;;;;En Pittier 1936 como Cryphaea patens Hornsch. ex MÅll. Hal. En lugares h£medos
Bryophyta;Bryopsida;Bryidae;Hypnales;Cryphaeaceae;1;Cryphaea;ramosa;;;(Mitt.) Wilson;Cryphaea ramosa;Cryphaea_ramosa;;6;;0;;;Bolivia, Colombia, Ecuador, Per£, Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Meteoriaceae;1;Cryptopapillaria;penicillata;;;(Dozy & Molk.) M. Menzel;Cryptopapillaria penicillata;Cryptopapillaria_penicillata;;6;;0;;;Chile;;;;;;;;;;;;En Churchill et al. 2000 como Papillaria penicillata (Dozy & Molk.) Broth. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Hypnaceae;0;Ctenidiadelphus;cylindricarpus;;;(Cardot) E.B. Bartram;Ctenidiadelphus cylindricarpus;Ctenidiadelphus_cylindricarpus;;6;;0;;;MÇxico, Colombia, Costa Rica,  Guatemala;;;Terrestre;Suelo, Humus;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Hypnaceae;1;Ctenidium;malacodes;;;Mitt.;Ctenidium malacodes;Ctenidium_malacodes;;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;albicans;;;(Hedw.) Kuntze;Cyclodictyon albicans;Cyclodictyon_albicans;;6;;0;Am 2, Am 3, Am 4, Am 5;;;;;Lign°cola;Madera en descomposici¢n;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Cyclodictyon;amnigenum;;;(MÅll. Hal.) Broth.;Cyclodictyon amnigenum;Cyclodictyon_amnigenum;;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
